id,label
1,0.8645085
2,0.2840103
3,0.49735358
4,0.3095566
5,0.2843542
6,0.5778063
7,0.9105604
8,0.12496767
9,0.8321081
10,0.9774554
11,0.9633372
12,0.11884356
13,0.45866105
14,0.56204784
15,0.7815116
16,0.7193296
17,0.01404497
18,0.86540645
19,0.15767454
20,0.8959103
21,0.3871446
22,0.25942567
23,0.5663893
24,0.09876255
25,0.7570973
26,0.9948544
27,0.8006732
28,0.09090458
29,0.8329282
30,0.11434723
31,0.7240547
32,0.40421024
33,0.91607934
34,0.0066
35,0.3587571
36,0.7337721
37,0.9975031
38,0.47152644
39,0.70006305
40,0.31861416
41,0.12782949
42,0.45599043
43,0.6575249
44,0.8691671
45,0.21059485
46,0.78063554
47,0.02287244
48,0.47184917
49,0.44611827
50,0.704109
51,0.6689238
52,0.01603986
53,0.9414405
54,0.10737141
55,0.5146385
56,0.43242672
57,0.5233301
58,0.8439319
59,0.9842704
60,0.8340941
61,0.99856454
62,0.9991111
63,0.10067177
64,0.59885854
65,0.1345771
66,0.05815858
67,0.3830159
68,0.05720308
69,0.54771066
70,0.1574426
71,0.146275
72,0.3647481
73,0.62701315
74,0.25711286
75,0.5630101
76,0.11837579
77,0.00077517
78,0.9799048
79,0.9845626
80,0.21385387
81,0.69231707
82,0.39993525
83,0.7909347
84,0.24162352
85,0.58084285
86,0.0266406
87,0.06188464
88,0.74173313
89,0.62944543
90,0.961451
91,0.69296026
92,0.55576795
93,0.9950111
94,0.14823768
95,0.7741691
96,0.5182773
97,0.92169785
98,0.9031049
99,0.44236922
100,0.5265668
101,0.10913417
102,0.4847445
103,0.4645212
104,0.07231544
105,0.16463743
106,0.6877838
107,0.2734483
108,0.7727092
109,0.15829413
110,0.6635082
111,0.6471597
112,0.05607949
113,0.84248036
114,0.61381173
115,0.35210845
116,0.04556445
117,0.33185044
118,0.99168676
119,0.98299855
120,0.97633183
121,0.65912473
122,0.5929041
123,0.14320153
124,0.35718352
125,0.300514
126,0.06486998
127,0.9593719
128,0.50233954
129,0.069948
130,0.05741044
131,0.62993294
132,0.7151938
133,0.6158678
134,0.34664595
135,0.9769215
136,0.2591447
137,0.14674002
138,0.5238623
139,0.9183547
140,0.12848677
141,0.03375927
142,0.6673645
143,0.8448177
144,0.32385677
145,0.06858885
146,0.20159538
147,0.01547357
148,0.45846915
149,0.32733792
150,0.6203834
151,0.14233258
152,0.40021497
153,0.23107453
154,0.5127788
155,0.9995486
156,0.39480618
157,0.8769295
158,0.09107392
159,0.17312777
160,0.28022075
161,0.3395664
162,0.99411917
163,0.62797385
164,0.90976524
165,0.06552897
166,0.9977331
167,0.13792068
168,0.7660484
169,0.768825
170,0.5305253
